phase,cycle,slot,active_cap,backend_slots,script_delay_ms,elapsed_us,phase_outcome,acceptance,error
recovered,7,1,4,2,100,144048,completed,unchecked,
recovered,7,0,4,2,100,144102,completed,unchecked,
recovered,7,3,4,2,100,262218,completed,unchecked,
recovered,7,2,4,2,100,262286,completed,unchecked,
recovered,8,0,4,2,100,142737,completed,unchecked,
recovered,8,1,4,2,100,142744,completed,unchecked,
recovered,8,3,4,2,100,263473,completed,unchecked,
recovered,8,2,4,2,100,263544,completed,unchecked,
recovered,9,0,4,2,100,123045,completed,unchecked,
recovered,9,1,4,2,100,129270,completed,unchecked,
recovered,9,3,4,2,100,247997,completed,unchecked,
recovered,9,2,4,2,100,248072,completed,unchecked,
