phase,cycle,slot,active_cap,backend_slots,script_delay_ms,elapsed_us,phase_outcome,acceptance,error
steady,0,0,4,2,100,143858,completed,unchecked,
steady,0,1,4,2,100,143848,completed,unchecked,
steady,0,3,4,2,100,260746,completed,unchecked,
steady,0,2,4,2,100,260796,completed,unchecked,
steady,1,0,4,2,100,143594,completed,unchecked,
steady,1,1,4,2,100,143600,completed,unchecked,
steady,1,3,4,2,100,263412,completed,unchecked,
steady,1,2,4,2,100,263483,completed,unchecked,
steady,2,1,4,2,100,144188,completed,unchecked,
steady,2,0,4,2,100,144264,completed,unchecked,
steady,2,2,4,2,100,265888,completed,unchecked,
steady,2,3,4,2,100,265920,completed,unchecked,
steady,3,0,4,2,100,133858,completed,unchecked,
steady,3,1,4,2,100,141026,completed,unchecked,
steady,3,3,4,2,100,259386,completed,unchecked,
steady,3,2,4,2,100,259471,completed,unchecked,
steady,4,0,4,2,100,161494,completed,unchecked,
steady,4,1,4,2,100,161493,completed,unchecked,
steady,4,2,4,2,100,260243,completed,unchecked,
steady,4,3,4,2,100,276010,completed,unchecked,
steady,5,0,4,2,100,125455,completed,unchecked,
steady,5,1,4,2,100,141420,completed,unchecked,
steady,5,2,4,2,100,231754,completed,unchecked,
steady,5,3,4,2,100,262495,completed,unchecked,
steady,6,0,4,2,100,209960,completed,unchecked,
steady,6,1,4,2,100,209979,completed,unchecked,
steady,6,2,4,2,100,298905,completed,unchecked,
steady,6,3,4,2,100,327197,completed,unchecked,
steady,7,0,4,2,100,126668,completed,unchecked,
steady,7,1,4,2,100,135975,completed,unchecked,
steady,7,3,4,2,100,251997,completed,unchecked,
steady,7,2,4,2,100,252064,completed,unchecked,
steady,8,0,4,2,100,141556,completed,unchecked,
steady,8,1,4,2,100,141554,completed,unchecked,
steady,8,3,4,2,100,261104,completed,unchecked,
steady,8,2,4,2,100,261189,completed,unchecked,
steady,9,1,4,2,100,148875,completed,unchecked,
steady,9,0,4,2,100,148945,completed,unchecked,
steady,9,3,4,2,100,264052,completed,unchecked,
steady,9,2,4,2,100,264125,completed,unchecked,
steady,10,1,4,2,100,147573,completed,unchecked,
steady,10,0,4,2,100,147647,completed,unchecked,
steady,10,3,4,2,100,269393,completed,unchecked,
steady,10,2,4,2,100,269468,completed,unchecked,
steady,11,0,4,2,100,130019,completed,unchecked,
steady,11,1,4,2,100,136468,completed,unchecked,
steady,11,3,4,2,100,254143,completed,unchecked,
steady,11,2,4,2,100,254204,completed,unchecked,
steady,12,1,4,2,100,146998,completed,unchecked,
steady,12,0,4,2,100,147066,completed,unchecked,
steady,12,2,4,2,100,263717,completed,unchecked,
steady,12,3,4,2,100,263761,completed,unchecked,
steady,13,0,4,2,100,143299,completed,unchecked,
steady,13,1,4,2,100,143302,completed,unchecked,
steady,13,3,4,2,100,261241,completed,unchecked,
steady,13,2,4,2,100,261298,completed,unchecked,
steady,14,1,4,2,100,145729,completed,unchecked,
steady,14,0,4,2,100,145788,completed,unchecked,
steady,14,3,4,2,100,260302,completed,unchecked,
steady,14,2,4,2,100,260371,completed,unchecked,
steady,15,1,4,2,100,148204,completed,unchecked,
steady,15,0,4,2,100,148271,completed,unchecked,
steady,15,3,4,2,100,265588,completed,unchecked,
steady,15,2,4,2,100,265665,completed,unchecked,
steady,16,0,4,2,100,139839,completed,unchecked,
steady,16,1,4,2,100,139845,completed,unchecked,
steady,16,3,4,2,100,260190,completed,unchecked,
steady,16,2,4,2,100,260275,completed,unchecked,
steady,17,0,4,2,100,141729,completed,unchecked,
steady,17,1,4,2,100,141749,completed,unchecked,
steady,17,3,4,2,100,260136,completed,unchecked,
steady,17,2,4,2,100,260199,completed,unchecked,
steady,18,0,4,2,100,142982,completed,unchecked,
steady,18,1,4,2,100,143065,completed,unchecked,
steady,18,2,4,2,100,259822,completed,unchecked,
steady,18,3,4,2,100,259837,completed,unchecked,
steady,19,1,4,2,100,140964,completed,unchecked,
steady,19,0,4,2,100,141050,completed,unchecked,
steady,19,2,4,2,100,258847,completed,unchecked,
steady,19,3,4,2,100,258863,completed,unchecked,
