phase,cycle,slot,active_cap,backend_slots,script_delay_ms,elapsed_us,phase_outcome,acceptance,error
steady,0,1,2,2,100,126028,completed,unchecked,
steady,0,0,2,2,100,126071,completed,unchecked,
steady,1,1,2,2,100,139249,completed,unchecked,
steady,1,0,2,2,100,139308,completed,unchecked,
steady,2,1,2,2,100,159010,completed,unchecked,
steady,2,0,2,2,100,159038,completed,unchecked,
steady,3,1,2,2,100,133820,completed,unchecked,
steady,3,0,2,2,100,133891,completed,unchecked,
steady,4,1,2,2,100,159692,completed,unchecked,
steady,4,0,2,2,100,159794,completed,unchecked,
steady,5,0,2,2,100,136218,completed,unchecked,
steady,5,1,2,2,100,136226,completed,unchecked,
steady,6,0,2,2,100,126680,completed,unchecked,
steady,6,1,2,2,100,126674,completed,unchecked,
steady,7,0,2,2,100,117224,completed,unchecked,
steady,7,1,2,2,100,121709,completed,unchecked,
steady,8,1,2,2,100,140604,completed,unchecked,
steady,8,0,2,2,100,140669,completed,unchecked,
steady,9,1,2,2,100,140673,completed,unchecked,
steady,9,0,2,2,100,140754,completed,unchecked,
steady,10,0,2,2,100,135191,completed,unchecked,
steady,10,1,2,2,100,135197,completed,unchecked,
steady,11,1,2,2,100,139290,completed,unchecked,
steady,11,0,2,2,100,139354,completed,unchecked,
steady,12,0,2,2,100,145915,completed,unchecked,
steady,12,1,2,2,100,145923,completed,unchecked,
steady,13,1,2,2,100,147704,completed,unchecked,
steady,13,0,2,2,100,147788,completed,unchecked,
steady,14,1,2,2,100,148730,completed,unchecked,
steady,14,0,2,2,100,148821,completed,unchecked,
steady,15,1,2,2,100,135528,completed,unchecked,
steady,15,0,2,2,100,135609,completed,unchecked,
steady,16,0,2,2,100,130769,completed,unchecked,
steady,16,1,2,2,100,130777,completed,unchecked,
steady,17,1,2,2,100,137915,completed,unchecked,
steady,17,0,2,2,100,138000,completed,unchecked,
steady,18,1,2,2,100,134300,completed,unchecked,
steady,18,0,2,2,100,134388,completed,unchecked,
steady,19,0,2,2,100,118094,completed,unchecked,
steady,19,1,2,2,100,123054,completed,unchecked,
