phase,cycle,slot,active_cap,backend_slots,script_delay_ms,elapsed_us,phase_outcome,acceptance,error
steady,6,3,8,2,100,268244,completed,unchecked,
steady,6,5,8,2,100,391446,completed,unchecked,
steady,6,4,8,2,100,391530,completed,unchecked,
steady,6,6,8,2,100,510521,completed,unchecked,
steady,6,7,8,2,100,510544,completed,unchecked,
steady,7,1,8,2,100,141543,completed,unchecked,
steady,7,0,8,2,100,141617,completed,unchecked,
steady,7,3,8,2,100,270442,completed,unchecked,
steady,7,2,8,2,100,270536,completed,unchecked,
steady,7,5,8,2,100,388359,completed,unchecked,
steady,7,4,8,2,100,388422,completed,unchecked,
steady,7,7,8,2,100,508131,completed,unchecked,
steady,7,6,8,2,100,508179,completed,unchecked,
steady,8,1,8,2,100,143249,completed,unchecked,
steady,8,0,8,2,100,143324,completed,unchecked,
steady,8,3,8,2,100,269308,completed,unchecked,
steady,8,2,8,2,100,269377,completed,unchecked,
steady,8,4,8,2,100,392254,completed,unchecked,
steady,8,5,8,2,100,392275,completed,unchecked,
steady,8,6,8,2,100,510782,completed,unchecked,
steady,8,7,8,2,100,510788,completed,unchecked,
steady,9,1,8,2,100,141877,completed,unchecked,
steady,9,0,8,2,100,141951,completed,unchecked,
steady,9,3,8,2,100,264506,completed,unchecked,
steady,9,2,8,2,100,264571,completed,unchecked,
steady,9,4,8,2,100,368191,completed,unchecked,
steady,9,5,8,2,100,374800,completed,unchecked,
steady,9,6,8,2,100,474580,completed,unchecked,
steady,9,7,8,2,100,490754,completed,unchecked,
steady,10,0,8,2,100,124834,completed,unchecked,
steady,10,1,8,2,100,131433,completed,unchecked,
steady,10,3,8,2,100,262214,completed,unchecked,
steady,10,2,8,2,100,262281,completed,unchecked,
steady,10,5,8,2,100,377333,completed,unchecked,
steady,10,4,8,2,100,377388,completed,unchecked,
steady,10,6,8,2,100,497769,completed,unchecked,
steady,10,7,8,2,100,497804,completed,unchecked,
steady,11,0,8,2,100,121817,completed,unchecked,
steady,11,1,8,2,100,128317,completed,unchecked,
steady,11,3,8,2,100,251338,completed,unchecked,
steady,11,2,8,2,100,251403,completed,unchecked,
steady,11,4,8,2,100,374377,completed,unchecked,
steady,11,5,8,2,100,374420,completed,unchecked,
steady,11,6,8,2,100,494582,completed,unchecked,
steady,11,7,8,2,100,494605,completed,unchecked,
steady,12,0,8,2,100,123521,completed,unchecked,
steady,12,1,8,2,100,130029,completed,unchecked,
steady,12,2,8,2,100,231753,completed,unchecked,
steady,12,3,8,2,100,238308,completed,unchecked,
steady,12,4,8,2,100,341523,completed,unchecked,
steady,12,5,8,2,100,348333,completed,unchecked,
steady,12,6,8,2,100,447784,completed,unchecked,
steady,12,7,8,2,100,465136,completed,unchecked,
steady,13,0,8,2,100,122847,completed,unchecked,
steady,13,1,8,2,100,129310,completed,unchecked,
steady,13,3,8,2,100,252399,completed,unchecked,
steady,13,2,8,2,100,252477,completed,unchecked,
steady,13,4,8,2,100,382020,completed,unchecked,
steady,13,5,8,2,100,382038,completed,unchecked,
steady,13,6,8,2,100,496586,completed,unchecked,
steady,13,7,8,2,100,496606,completed,unchecked,
steady,14,0,8,2,100,122517,completed,unchecked,
steady,14,1,8,2,100,128975,completed,unchecked,
steady,14,2,8,2,100,231828,completed,unchecked,
steady,14,3,8,2,100,238848,completed,unchecked,
steady,14,4,8,2,100,361387,completed,unchecked,
steady,14,5,8,2,100,361429,completed,unchecked,
steady,14,7,8,2,100,478724,completed,unchecked,
steady,14,6,8,2,100,478774,completed,unchecked,
steady,15,0,8,2,100,122273,completed,unchecked,
steady,15,1,8,2,100,128983,completed,unchecked,
steady,15,2,8,2,100,231588,completed,unchecked,
steady,15,3,8,2,100,238193,completed,unchecked,
steady,15,5,8,2,100,360975,completed,unchecked,
steady,15,4,8,2,100,361047,completed,unchecked,
steady,15,7,8,2,100,481975,completed,unchecked,
steady,15,6,8,2,100,482034,completed,unchecked,
steady,16,1,8,2,100,143432,completed,unchecked,
steady,16,0,8,2,100,143496,completed,unchecked,
steady,16,3,8,2,100,266977,completed,unchecked,
steady,16,2,8,2,100,267043,completed,unchecked,
steady,16,4,8,2,100,392257,completed,unchecked,
steady,16,5,8,2,100,392290,completed,unchecked,
steady,16,7,8,2,100,512547,completed,unchecked,
steady,16,6,8,2,100,512591,completed,unchecked,
steady,17,0,8,2,100,122821,completed,unchecked,
steady,17,1,8,2,100,129190,completed,unchecked,
steady,17,2,8,2,100,236114,completed,unchecked,
steady,17,3,8,2,100,244534,completed,unchecked,
steady,17,5,8,2,100,361449,completed,unchecked,
steady,17,4,8,2,100,361511,completed,unchecked,
steady,17,7,8,2,100,481518,completed,unchecked,
steady,17,6,8,2,100,481585,completed,unchecked,
steady,18,1,8,2,100,143038,completed,unchecked,
steady,18,0,8,2,100,143119,completed,unchecked,
steady,18,3,8,2,100,266383,completed,unchecked,
steady,18,2,8,2,100,266448,completed,unchecked,
steady,18,4,8,2,100,370500,completed,unchecked,
steady,18,5,8,2,100,377334,completed,unchecked,
steady,18,6,8,2,100,495493,completed,unchecked,
steady,18,7,8,2,100,495529,completed,unchecked,
steady,19,0,8,2,100,123517,completed,unchecked,
steady,19,1,8,2,100,130329,completed,unchecked,
steady,19,2,8,2,100,232177,completed,unchecked,
steady,19,3,8,2,100,238571,completed,unchecked,
steady,19,4,8,2,100,341455,completed,unchecked,
steady,19,5,8,2,100,353668,completed,unchecked,
steady,19,6,8,2,100,449039,completed,unchecked,
steady,19,7,8,2,100,464449,completed,unchecked,
