phase,cycle,slot,active_cap,backend_slots,script_delay_ms,elapsed_us,phase_outcome,acceptance,error
steady,0,0,8,2,100,142962,completed,unchecked,
steady,0,1,8,2,100,142958,completed,unchecked,
steady,0,3,8,2,100,262555,completed,unchecked,
steady,0,2,8,2,100,262599,completed,unchecked,
steady,0,4,8,2,100,386474,completed,unchecked,
steady,0,5,8,2,100,386465,completed,unchecked,
steady,0,7,8,2,100,505091,completed,unchecked,
steady,0,6,8,2,100,505174,completed,unchecked,
steady,1,1,8,2,100,150124,completed,unchecked,
steady,1,0,8,2,100,150199,completed,unchecked,
steady,1,3,8,2,100,267512,completed,unchecked,
steady,1,2,8,2,100,267570,completed,unchecked,
steady,1,5,8,2,100,392504,completed,unchecked,
steady,1,4,8,2,100,392564,completed,unchecked,
steady,1,6,8,2,100,511055,completed,unchecked,
steady,1,7,8,2,100,511060,completed,unchecked,
steady,2,1,8,2,100,142898,completed,unchecked,
steady,2,0,8,2,100,142947,completed,unchecked,
steady,2,3,8,2,100,266102,completed,unchecked,
steady,2,2,8,2,100,266173,completed,unchecked,
steady,2,5,8,2,100,389108,completed,unchecked,
steady,2,4,8,2,100,389162,completed,unchecked,
steady,2,6,8,2,100,508845,completed,unchecked,
steady,2,7,8,2,100,508871,completed,unchecked,
steady,3,0,8,2,100,144129,completed,unchecked,
steady,3,1,8,2,100,144162,completed,unchecked,
steady,3,3,8,2,100,268273,completed,unchecked,
steady,3,2,8,2,100,268345,completed,unchecked,
steady,3,5,8,2,100,392020,completed,unchecked,
steady,3,4,8,2,100,392067,completed,unchecked,
steady,3,6,8,2,100,512152,completed,unchecked,
steady,3,7,8,2,100,512181,completed,unchecked,
steady,4,0,8,2,100,121934,completed,unchecked,
steady,4,1,8,2,100,128584,completed,unchecked,
steady,4,2,8,2,100,232478,completed,unchecked,
steady,4,3,8,2,100,239147,completed,unchecked,
steady,4,4,8,2,100,344719,completed,unchecked,
steady,4,5,8,2,100,353806,completed,unchecked,
steady,4,7,8,2,100,467385,completed,unchecked,
steady,4,6,8,2,100,467431,completed,unchecked,
steady,5,1,8,2,100,143350,completed,unchecked,
steady,5,0,8,2,100,143425,completed,unchecked,
steady,5,3,8,2,100,264776,completed,unchecked,
steady,5,2,8,2,100,264853,completed,unchecked,
steady,5,5,8,2,100,388879,completed,unchecked,
steady,5,4,8,2,100,388933,completed,unchecked,
steady,5,7,8,2,100,510224,completed,unchecked,
steady,5,6,8,2,100,510282,completed,unchecked,
steady,6,1,8,2,100,144379,completed,unchecked,
steady,6,0,8,2,100,144476,completed,unchecked,
steady,6,2,8,2,100,268214,completed,unchecked,
