"elapsed_ms","working_set_bytes","private_bytes","cpu_seconds"
"5","3190784","520192","0"
"1031","16965632","4014080","0.21875"
"2045","17567744","4542464","0.34375"
"3064","18042880","4943872","0.46875"
"4084","18853888","5730304","0.640625"
"5092","19365888","6160384","0.8125"
"6100","20086784","6881280","0.984375"
"7111","20307968","7000064","1.15625"
"8131","20496384","7118848","1.359375"
"9140","20787200","7364608","1.515625"
"10151","20901888","7417856","1.65625"
