index,total_us,admission_us,journal_before_terminal_ms,terminal_event_ms,terminal_tail_upper_us,model_duration_ms
185,10847,2390,5,8,2847,0
186,10750,2306,5,8,2750,0
187,11166,2379,6,8,3166,0
188,14180,2320,5,8,6180,0
189,13165,4288,6,10,3165,0
190,11154,2408,6,8,3154,0
191,11194,2427,6,8,3194,0
192,11031,2386,6,8,3031,0
193,11044,2328,6,8,3044,0
194,10992,2356,6,8,2992,0
195,10978,2278,6,8,2978,0
196,10643,2283,6,8,2643,0
197,10839,2312,6,8,2839,0
198,10839,2263,5,8,2839,0
199,10576,2238,6,8,2576,0
200,10802,2176,6,8,2802,0
201,10962,2371,6,8,2962,0
202,10975,2207,6,8,2975,0
203,10832,2171,6,8,2832,0
204,10684,2211,6,8,2684,0
205,10745,2268,5,8,2745,0
206,10636,2240,6,8,2636,0
207,10911,2239,6,8,2911,0
208,10931,2291,6,8,2931,0
209,10860,2342,6,8,2860,0
210,10827,2317,6,8,2827,0
211,10530,2290,5,8,2530,0
212,10924,2333,6,8,2924,0
213,10667,2282,6,8,2667,0
214,10754,2389,4,8,2754,0
215,10417,2215,5,8,2417,0
216,10499,2190,5,8,2499,0
217,10368,2170,4,8,2368,0
218,10324,2201,5,8,2324,0
219,10542,2242,5,8,2542,0
220,10495,2222,5,8,2495,0
221,10578,2265,6,8,2578,0
222,10399,2251,4,8,2399,0
223,10511,2213,6,8,2511,0
224,10317,2193,4,8,2317,0
225,10506,2191,6,8,2506,0
226,9981,2290,5,7,2981,0
227,14759,2204,4,8,6759,0
228,10382,2275,3,8,2382,0
229,10352,2144,4,8,2352,0
230,10402,2226,4,8,2402,0
231,10369,2326,4,8,2369,0
232,10360,2308,3,8,2360,0
233,10292,2149,4,8,2292,0
234,10273,2116,3,8,2273,0
235,10484,2173,6,8,2484,0
236,10388,2249,3,8,2388,0
237,10474,2225,5,8,2474,0
238,18331,2169,12,16,2331,0
239,10231,2098,4,8,2231,0
240,10746,2210,6,8,2746,0
241,10137,2103,3,8,2137,0
242,10450,2191,4,8,2450,0
243,10342,2158,6,8,2342,0
244,10184,2143,3,8,2184,0
245,10539,2198,5,8,2539,0
246,10361,2191,4,8,2361,0
247,10498,2189,6,8,2498,0
248,10711,2303,5,8,2711,0
249,10578,2293,5,8,2578,0
250,10715,2330,5,8,2715,0
251,10629,2241,6,8,2629,0
252,10565,2211,6,8,2565,0
253,10490,2240,4,8,2490,0
254,10431,2212,5,8,2431,0
255,10381,2196,5,8,2381,0
256,10586,2297,6,8,2586,0
257,10458,2198,4,8,2458,0
258,10477,2221,6,8,2477,0
259,10559,2198,6,8,2559,0
260,12638,4174,6,10,2638,0
261,10751,2397,5,8,2751,0
262,10622,2287,5,8,2622,0
263,10513,2281,5,8,2513,0
