experiment,index,elapsed_us,admission_us,phase,acceptance
warm,167,16329,2370,completed,unchecked
warm,168,29442,2284,completed,unchecked
warm,169,14610,2328,completed,unchecked
warm,170,16744,2375,completed,unchecked
warm,171,31851,8067,completed,unchecked
warm,172,30173,2438,completed,unchecked
warm,173,29892,2375,completed,unchecked
warm,174,31381,2564,completed,unchecked
warm,175,16948,2390,completed,unchecked
warm,176,30555,2541,completed,unchecked
warm,177,19523,2389,completed,unchecked
warm,178,32508,2309,completed,unchecked
warm,179,30666,2378,completed,unchecked
warm,180,25526,3336,completed,unchecked
warm,181,30793,2298,completed,unchecked
warm,182,30790,2321,completed,unchecked
warm,183,15200,2369,completed,unchecked
warm,184,31760,2518,completed,unchecked
warm,185,83817,34079,completed,unchecked
warm,186,40489,11547,completed,unchecked
warm,187,30737,2284,completed,unchecked
warm,188,16535,2150,completed,unchecked
warm,189,47204,2570,completed,unchecked
warm,190,62115,12640,completed,unchecked
warm,191,45457,2488,completed,unchecked
warm,192,52850,34060,completed,unchecked
warm,193,24378,2549,completed,unchecked
warm,194,20706,2492,completed,unchecked
warm,195,28383,2693,completed,unchecked
warm,196,28797,3143,completed,unchecked
warm,197,30279,2580,completed,unchecked
warm,198,32054,2595,completed,unchecked
warm,199,15485,2284,completed,unchecked
warm,200,16244,2340,completed,unchecked
warm,201,29355,2435,completed,unchecked
warm,202,31232,2257,completed,unchecked
warm,203,16215,2351,completed,unchecked
warm,204,30614,2210,completed,unchecked
warm,205,30827,2233,completed,unchecked
warm,206,15107,2338,completed,unchecked
warm,207,30775,2343,completed,unchecked
warm,208,16537,2260,completed,unchecked
warm,209,31314,2308,completed,unchecked
warm,210,31065,2324,completed,unchecked
warm,211,31030,2254,completed,unchecked
warm,212,15105,2154,completed,unchecked
warm,213,16787,2327,completed,unchecked
warm,214,29945,2368,completed,unchecked
warm,215,33010,2492,completed,unchecked
warm,216,14267,2464,completed,unchecked
warm,217,30748,2314,completed,unchecked
warm,218,19930,2388,completed,unchecked
warm,219,27274,3940,completed,unchecked
warm,220,32227,2338,completed,unchecked
warm,221,17962,2583,completed,unchecked
warm,222,27741,2577,completed,unchecked
warm,223,16706,2325,completed,unchecked
warm,224,31315,2778,completed,unchecked
warm,225,17387,2719,completed,unchecked
warm,226,29569,3228,completed,unchecked
warm,227,30651,2576,completed,unchecked
warm,228,30631,2415,completed,unchecked
warm,229,16768,2522,completed,unchecked
warm,230,30027,2391,completed,unchecked
warm,231,31144,2331,completed,unchecked
warm,232,17781,2316,completed,unchecked
warm,233,28809,2573,completed,unchecked
warm,234,32129,2521,completed,unchecked
warm,235,23837,2343,completed,unchecked
warm,236,38112,6883,completed,unchecked
warm,237,15521,2559,completed,unchecked
warm,238,31618,2527,completed,unchecked
warm,239,15046,2494,completed,unchecked
warm,240,17989,2279,completed,unchecked
warm,241,29183,3217,completed,unchecked
warm,242,15882,2283,completed,unchecked
warm,243,33227,2683,completed,unchecked
warm,244,19093,2314,completed,unchecked
warm,245,24850,2372,completed,unchecked
warm,246,29718,2561,completed,unchecked
warm,247,18387,2225,completed,unchecked
warm,248,27132,2427,completed,unchecked
warm,249,15443,2513,completed,unchecked
warm,250,20219,2645,completed,unchecked
warm,251,23670,2555,completed,unchecked
warm,252,19323,4648,completed,unchecked
warm,253,27488,2374,completed,unchecked
