elapsed_ms,pid,working_set_bytes,private_bytes,cpu_seconds
149118,20516,15560704,7049216,6.34375
150125,20516,15560704,7049216,6.34375
151136,20516,15560704,7049216,6.34375
152143,20516,15568896,7057408,6.40625
153162,20516,15568896,7057408,6.453125
154172,20516,15568896,7057408,6.484375
155193,20516,15568896,7057408,6.484375
156203,20516,15568896,7057408,6.5
157211,20516,15568896,7057408,6.546875
158220,20516,15568896,7057408,6.578125
159229,20516,15568896,7057408,6.609375
160236,20516,15568896,7057408,6.640625
161245,20516,15572992,7057408,6.6875
162266,20516,15572992,7057408,6.71875
163275,20516,15572992,7057408,6.734375
164283,20516,15572992,7057408,6.765625
165292,20516,15572992,7057408,6.78125
166304,20516,15572992,7057408,6.8125
167325,20516,15572992,7057408,6.828125
168346,20516,15572992,7057408,6.875
169353,20516,15572992,7057408,6.90625
170360,20516,15572992,7057408,6.953125
171377,20516,15572992,7057408,6.96875
172399,20516,15572992,7057408,7.015625
173408,20516,15572992,7057408,7.03125
174422,20516,15572992,7057408,7.078125
175433,20516,15572992,7057408,7.125
176441,20516,15572992,7057408,7.1875
177448,20516,15572992,7057408,7.21875
178460,20516,15577088,7057408,7.265625
179467,20516,15577088,7057408,7.3125
180476,20516,15577088,7057408,7.34375
181497,20516,15577088,7057408,7.375
182507,20516,15577088,7057408,7.375
183526,20516,15577088,7057408,7.390625
184540,20516,15577088,7057408,7.453125
185558,20516,15577088,7057408,7.46875
186574,20516,15577088,7057408,7.5
187595,20516,15577088,7057408,7.515625
188605,20516,15577088,7057408,7.5625
189613,20516,15581184,7057408,7.578125
190623,20516,15581184,7057408,7.59375
191633,20516,15581184,7057408,7.640625
192654,20516,15581184,7057408,7.65625
193662,20516,15581184,7057408,7.6875
194672,20516,15581184,7057408,7.71875
195679,20516,15581184,7057408,7.765625
196700,20516,15581184,7057408,7.78125
197708,20516,15581184,7057408,7.859375
198716,20516,15581184,7057408,7.875
199737,20516,15581184,7057408,7.890625
200748,20516,15581184,7057408,7.9375
201757,20516,15581184,7057408,8
202767,20516,15581184,7057408,8.03125
203788,20516,15581184,7057408,8.0625
204808,20516,15581184,7057408,8.125
205828,20516,15581184,7057408,8.15625
206837,20516,15581184,7057408,8.203125
207844,20516,15581184,7057408,8.265625
208856,20516,15581184,7057408,8.265625
209864,20516,15581184,7057408,8.328125
210873,20516,15589376,7057408,8.359375
211895,20516,15589376,7057408,8.40625
212917,20516,15589376,7057408,8.4375
213928,20516,15589376,7057408,8.46875
214942,20516,15589376,7057408,8.484375
215954,20516,15593472,7057408,8.5
216975,20516,15593472,7057408,8.53125
217982,20516,15593472,7057408,8.546875
219004,20516,15593472,7057408,8.609375
220011,20516,15593472,7057408,8.65625
221020,20516,15593472,7057408,8.75
222030,20516,15593472,7057408,8.75
223051,20516,15593472,7057408,8.765625
224069,20516,15593472,7057408,8.828125
225090,20516,15593472,7057408,8.859375
226098,20516,15593472,7057408,8.921875
227120,20516,15593472,7057408,8.921875
228131,20516,15593472,7057408,8.984375
229152,20516,15593472,7057408,9.015625
230164,20516,15593472,7057408,9.0625
231174,20516,15593472,7057408,9.125
232185,20516,15593472,7057408,9.15625
233195,20516,15593472,7057408,9.203125
234214,20516,15593472,7057408,9.234375
235220,20516,15593472,7057408,9.296875
236242,20516,15593472,7057408,9.359375
237252,20516,15593472,7057408,9.40625
238261,20516,15593472,7057408,9.453125
239272,20516,15593472,7057408,9.53125
240282,20516,15593472,7057408,9.53125
241294,20516,15593472,7057408,9.546875
242303,20516,15593472,7057408,9.578125
243322,20516,15593472,7057408,9.609375
244342,20516,15593472,7057408,9.625
245353,20516,15593472,7057408,9.625
246362,20516,15593472,7057408,9.65625
247370,20516,15593472,7057408,9.671875
248389,20516,15593472,7057408,9.703125
249400,20516,15593472,7057408,9.71875
250413,20516,15593472,7057408,9.75
251422,20516,15593472,7057408,9.78125
252432,20516,15593472,7057408,9.8125
253442,20516,15593472,7057408,9.90625
254452,20516,15593472,7057408,9.90625
255462,20516,15593472,7057408,9.96875
256483,20516,15593472,7057408,10.046875
257494,20516,15593472,7057408,10.0625
258503,20516,15593472,7057408,10.0625
259511,20516,15593472,7057408,10.125
260519,20516,15593472,7057408,10.15625
261527,20516,15593472,7057408,10.171875
262538,20516,15593472,7057408,10.203125
263557,20516,15593472,7057408,10.25
264576,20516,15593472,7057408,10.25
265585,20516,15593472,7057408,10.28125
266606,20516,15593472,7057408,10.3125
267614,20516,15593472,7057408,10.390625
268624,20516,15593472,7057408,10.390625
269645,20516,15593472,7057408,10.4375
270654,20516,15593472,7057408,10.453125
271666,20516,15593472,7057408,10.46875
272676,20516,15593472,7057408,10.53125
273684,20516,15593472,7057408,10.578125
274704,20516,15593472,7057408,10.65625
275711,20516,15593472,7057408,10.71875
276718,20516,15593472,7057408,10.75
277739,20516,15593472,7057408,10.75
278754,20516,15593472,7057408,10.75
279766,20516,15593472,7057408,10.8125
280775,20516,15593472,7057408,10.8125
281789,20516,15601664,7057408,10.890625
282798,20516,15601664,7057408,10.90625
283807,20516,15273984,6709248,10.9375
284826,20516,15273984,6709248,10.953125
285834,20516,15278080,6709248,11.015625
286854,20516,15286272,6737920,11.125
287875,20516,15351808,6737920,11.203125
288894,20516,15331328,6721536,11.296875
289914,20516,15364096,6737920,11.328125
290925,20516,15282176,6676480,11.375
291946,20516,15327232,6737920,11.453125
292954,20516,15335424,6737920,11.453125
293975,20516,15335424,6737920,11.484375
294982,20516,15335424,6737920,11.515625
295992,20516,15335424,6737920,11.5625
297005,20516,15335424,6737920,11.609375
298024,20516,15339520,6737920,11.625
299033,20516,15339520,6737920,11.6875
300042,20516,15482880,6832128,11.6875
301050,20516,15482880,6832128,11.71875
302056,20516,15482880,6832128,11.71875
303077,20516,15482880,6832128,11.796875
304085,20516,15482880,6832128,11.796875
305104,20516,15482880,6832128,11.890625
306125,20516,15482880,6832128,11.96875
307137,20516,15454208,6770688,12.03125
308157,20516,15458304,6770688,12.03125
309170,20516,15503360,6832128,12.109375
310179,20516,15532032,7151616,12.171875
311187,20516,15536128,7151616,12.171875
312205,20516,15478784,6799360,12.21875
313212,20516,15495168,7151616,12.234375
314231,20516,15548416,7151616,12.234375
